,Ville,Code,Ville+Code
0,ozan,01190,ozan-01190
1,cormoranche-sur-saône,01290,cormoranche-sur-saône-01290
2,plagne,01130,plagne-01130
3,tossiat,01250,tossiat-01250
4,pouillat,01250,pouillat-01250
5,torcieu,01230,torcieu-01230
6,replonges,01620,replonges-01620
7,corcelles,01110,corcelles-01110
8,péron,01630,péron-01630
9,relevant,01990,relevant-01990
10,chaveyriat,01660,chaveyriat-01660
11,vaux-en-bugey,01150,vaux-en-bugey-01150
12,maillat,01430,maillat-01430
13,faramans,01800,faramans-01800
14,béon,01350,béon-01350
15,saint-bernard,01600,saint-bernard-01600
16,rossillon,01510,rossillon-01510
17,pont-d'ain,01160,pont-d'ain-01160
18,nantua,01460,nantua-01460
19,chavannes-sur-reyssouze,01190,chavannes-sur-reyssouze-01190
20,neuville-les-dames,01400,neuville-les-dames-01400
21,flaxieu,01350,flaxieu-01350
22,hotonnes,01260,hotonnes-01260
23,saint-sorlin-en-bugey,01150,saint-sorlin-en-bugey-01150
24,songieu,01260,songieu-01260
25,virieu-le-petit,01260,virieu-le-petit-01260
26,saint-denis-en-bugey,01500,saint-denis-en-bugey-01500
27,charnoz-sur-ain,01800,charnoz-sur-ain-01800
28,chazey-sur-ain,01150,chazey-sur-ain-01150
29,marchamp,01680,marchamp-01680
30,culoz,01350,culoz-01350
31,mantenay-montlin,01560,mantenay-montlin-01560
32,marboz,01851,marboz-01851
33,foissiat,01340,foissiat-01340
34,treffort-cuisiat,01370,treffort-cuisiat-01370
35,izieu,01300,izieu-01300
36,saint-étienne-du-bois,01370,saint-étienne-du-bois-01370
37,hauteville-lompnes,01110,hauteville-lompnes-01110
38,saint-trivier-sur-moignans,01990,saint-trivier-sur-moignans-01990
39,peyriat,01430,peyriat-01430
40,évosges,01230,évosges-01230
41,poncin,01450,poncin-01450
42,crans,01320,crans-01320
43,montréal-la-cluse,01460,montréal-la-cluse-01460
44,cleyzieu,01230,cleyzieu-01230
45,lompnieu,01260,lompnieu-01260
46,villereversure,01250,villereversure-01250
47,saint-martin-du-mont,01160,saint-martin-du-mont-01160
48,saint-genis-pouilly,01630,saint-genis-pouilly-01630
49,bolozon,01450,bolozon-01450
50,confrançon,01310,confrançon-01310
51,lochieu,01260,lochieu-01260
52,chanoz-châtenay,01400,chanoz-châtenay-01400
53,villebois,01150,villebois-01150
54,ceignes,01430,ceignes-01430
55,saint-didier-sur-chalaronne,01140,saint-didier-sur-chalaronne-01140
56,revonnas,01250,revonnas-01250
57,bourg-saint-christophe,01800,bourg-saint-christophe-01800
58,condeissiat,01400,condeissiat-01400
59,pirajoux,01270,pirajoux-01270
60,chalamont,01320,chalamont-01320
61,le plantay,01330,le plantay-01330
62,versailleux,01330,versailleux-01330
63,montagnat,01250,montagnat-01250
64,vieu,01260,vieu-01260
65,saint-andré-de-corcy,01390,saint-andré-de-corcy-01390
66,bressolles,01360,bressolles-01360
67,péronnas,01960,péronnas-01960
68,colomieu,01300,colomieu-01300
69,monthieux,01390,monthieux-01390
70,saint-jean-sur-reyssouze,01560,saint-jean-sur-reyssouze-01560
71,garnerans,01140,garnerans-01140
72,montrevel-en-bresse,01340,montrevel-en-bresse-01340
73,conand,01230,conand-01230
74,challes-la-montagne,01450,challes-la-montagne-01450
75,mogneneins,01140,mogneneins-01140
76,thoissey,01140,thoissey-01140
77,chaleins,01480,chaleins-01480
78,neuville-sur-ain,01160,neuville-sur-ain-01160
79,thil,01120,thil-01120
80,jujurieux,01640,jujurieux-01640
81,oncieu,01230,oncieu-01230
82,lurcy,01090,lurcy-01090
83,balan,01360,balan-01360
84,ambutrix,01500,ambutrix-01500
85,sainte-croix,01120,sainte-croix-01120
86,blyes,01150,blyes-01150
87,conzieu,01300,conzieu-01300
88,niévroz,01120,niévroz-01120
89,nurieux-volognat,01460,nurieux-volognat-01460
